,Customer_ID,Gender,Region,Subscription_Plan,Payment_Method,Age,Days_Since_Last_Login,Customer_Service_Calls,Monthly_Spend,Churn
102,10103,Male,West,Basic,Crypto,24.0,137,1.0,,1
103,10104,Female,East,Pro,Credit Card,44.0,100,1.0,,0
104,10105,Unknown,North,Plus,Crypto,32.0,121,2.0,,1
105,10106,Male,East,Plus,Credit Card,34.0,59,2.0,,1
106,10107,Female,North,Basic,,23.0,113,3.0,,1
107,10108,Female,West,Basic,E-Wallet,34.0,149,2.0,,1
108,10109,Male,West,Pro,Credit Card,23.0,74,4.0,,1
109,10110,Male,West,Basic,Credit Card,25.0,98,,,1
110,10111,Male,South,Pro,Crypto,29.0,8,,,0
111,10112,Male,South,Pro,Crypto,38.0,142,1.0,22.92,1
112,10113,Unknown,North,Plus,PayPal,39.0,82,3.0,,0
113,10114,Non-Binary,South,Basic,E-Wallet,39.0,36,4.0,,1
114,10115,Female,West,Basic,E-Wallet,18.0,69,1.0,64.35,1
115,10116,Non-Binary,South,Plus,PayPal,33.0,171,3.0,133.0,1
116,10117,Non-Binary,South,Pro,Crypto,32.0,130,,33.26,1
117,10118,Male,East,Plus,E-Wallet,18.0,9,3.0,,0
118,10119,Non-Binary,North,Basic,Crypto,34.0,131,1.0,,1
119,10120,Female,North,Pro,E-Wallet,31.0,55,2.0,165.35,0
120,10121,Non-Binary,North,Pro,Credit Card,39.0,167,2.0,109.11,1
121,10122,Non-Binary,South,Basic,Credit Card,34.0,32,4.0,4.18,1
122,10123,Male,West,Pro,E-Wallet,,160,,,1
123,10124,Male,East,Pro,E-Wallet,,148,,,0
124,10125,Male,North,Basic,E-Wallet,11.0,102,1.0,39.91,0
125,10126,Female,South,Basic,PayPal,33.0,118,1.0,,1
126,10127,Non-Binary,West,Pro,E-Wallet,16.0,44,2.0,20.79,1
127,10128,Non-Binary,East,Basic,PayPal,24.0,56,,,1
128,10129,Male,East,Plus,PayPal,39.0,167,1.0,221.37,0
129,10130,Female,North,Basic,Credit Card,21.0,125,1.0,,1
130,10131,Female,North,Basic,E-Wallet,19.0,126,1.0,,1
131,10132,Male,West,Plus,Credit Card,,9,,,1
132,10133,Male,South,Plus,Credit Card,20.0,73,2.0,135.03,0
133,10134,Male,West,Basic,PayPal,50.0,65,2.0,15.37,1
134,10135,Unknown,North,Pro,,32.0,101,4.0,99.31,1
135,10136,Male,West,Basic,PayPal,28.0,84,1.0,16.61,1
136,10137,Female,South,Basic,Credit Card,39.0,157,2.0,,1
137,10138,Female,East,Basic,PayPal,47.0,81,1.0,12.83,0
138,10139,Male,East,Basic,PayPal,22.0,34,,42.45,0
139,10140,Unknown,East,Plus,PayPal,28.0,52,1.0,125.37,0
140,10141,Unknown,East,Pro,E-Wallet,42.0,166,,102.71,0
141,10142,Male,North,Plus,PayPal,36.0,111,1.0,,0
142,10143,Female,North,Pro,Credit Card,45.0,21,2.0,94.68,1
143,10144,Male,South,Basic,PayPal,39.0,66,2.0,,0
144,10145,Male,South,Pro,E-Wallet,52.0,99,2.0,140.98,1
145,10146,Male,South,Plus,Credit Card,35.0,79,5.0,201.09,1
146,10147,Female,South,Pro,PayPal,,99,,,1
147,10148,Female,West,Pro,Credit Card,37.0,74,,68.18,1
148,10149,Male,South,Plus,E-Wallet,32.0,119,2.0,199.79,1
149,10150,Male,East,Basic,Crypto,,16,,,0
150,10151,Unknown,East,Pro,E-Wallet,,146,,,0
151,10152,Male,East,Plus,,41.0,71,,147.55,0
152,10153,Male,West,Plus,Credit Card,43.0,123,,142.03,0
153,10154,Female,South,Basic,Credit Card,38.0,89,2.0,,1
154,10155,Unknown,East,Pro,Crypto,39.0,50,,147.51,0
155,10156,Male,East,Pro,Crypto,23.0,175,,136.3,0
156,10157,Female,East,Basic,Crypto,28.0,56,3.0,4.43,1
157,10158,Female,East,Pro,E-Wallet,42.0,137,3.0,,1
158,10159,Male,North,Basic,E-Wallet,48.0,31,2.0,56.61,0
159,10160,Female,South,Basic,,,78,,,1
160,10161,Male,South,Basic,Crypto,,122,,,1
161,10162,Female,West,Pro,Crypto,34.0,121,1.0,65.92,1
162,10163,Female,North,Basic,PayPal,,67,,,0
163,10164,Female,West,Basic,PayPal,25.0,27,4.0,,1
164,10165,Male,East,Basic,Crypto,38.0,131,4.0,14.77,1
165,10166,Non-Binary,West,Basic,,49.0,76,3.0,105.46,1
166,10167,Male,East,Basic,Credit Card,,139,,,1
167,10168,Male,East,Basic,,32.0,14,2.0,23.6,1
168,10169,Male,South,Pro,Credit Card,38.0,28,2.0,71.66,1
169,10170,Female,South,Pro,Crypto,41.0,86,2.0,39.1,1
170,10171,Female,South,Basic,PayPal,37.0,12,2.0,63.2,1
171,10172,Male,South,Basic,PayPal,51.0,37,1.0,,1
172,10173,Female,South,Pro,Credit Card,34.0,109,1.0,98.66,0
173,10174,Male,North,Basic,Crypto,47.0,34,,,1
174,10175,Female,South,Plus,PayPal,27.0,167,3.0,177.97,1
175,10176,Male,West,Pro,Crypto,34.0,75,,127.18,1
176,10177,Female,East,Basic,Crypto,21.0,109,,54.62,0
177,10178,Male,South,Basic,Credit Card,43.0,4,2.0,,0
178,10179,Unknown,North,Pro,Crypto,32.0,1,,45.15,1
179,10180,Male,West,Basic,Crypto,37.0,29,2.0,25.9,0
180,10181,Male,West,Basic,Credit Card,30.0,98,2.0,,1
181,10182,Male,East,Basic,PayPal,39.0,118,,,1
182,10183,Unknown,West,Pro,E-Wallet,37.0,9,1.0,67.0,0
183,10184,Non-Binary,West,Pro,Crypto,24.0,72,2.0,107.63,1
184,10185,Male,West,Basic,Credit Card,24.0,123,,116.85,1
185,10186,Female,West,Pro,PayPal,33.0,37,,91.79,0
186,10187,Non-Binary,North,Basic,Crypto,40.0,93,1.0,5.08,1
187,10188,Female,East,Pro,E-Wallet,,118,,,1
188,10189,Female,South,Basic,PayPal,37.0,162,2.0,70.87,1
189,10190,Male,West,Pro,Credit Card,44.0,70,,116.85,0
190,10191,Male,North,Plus,,17.0,139,1.0,201.93,1
191,10192,Non-Binary,East,Basic,Credit Card,,169,,,0
192,10193,Unknown,South,Basic,E-Wallet,40.0,97,1.0,,0
193,10194,Female,East,Basic,E-Wallet,,176,,,0
194,10195,Male,North,Basic,Credit Card,32.0,126,2.0,,0
195,10196,Male,North,Basic,Crypto,22.0,66,,51.15,1
196,10197,Female,North,Plus,Credit Card,25.0,32,1.0,174.68,0
197,10198,Non-Binary,West,Plus,PayPal,53.0,103,3.0,175.32,1
198,10199,Non-Binary,North,Basic,Credit Card,,140,,,1
199,10200,Female,South,Pro,E-Wallet,23.0,147,5.0,97.68,1
200,10201,Female,West,Pro,Crypto,26.0,160,,104.41,1
201,10202,Male,East,Pro,,22.0,33,,68.17,0
202,10203,Male,South,Basic,E-Wallet,34.0,49,4.0,,1
203,10204,Non-Binary,West,Basic,E-Wallet,,177,,,0
204,10205,Female,North,Basic,PayPal,27.0,136,2.0,62.8,1
205,10206,Male,East,Basic,E-Wallet,,6,,,1
206,10207,Male,North,Pro,E-Wallet,36.0,136,1.0,39.01,1
207,10208,Female,South,Pro,E-Wallet,33.0,105,1.0,67.63,1
208,10209,Male,South,Basic,Crypto,,153,,,1
209,10210,Male,West,Basic,,29.0,129,2.0,,1
210,10211,Female,South,Plus,Credit Card,,4,,,1
211,10212,Female,East,Pro,Credit Card,32.0,112,,75.46,1
212,10213,Female,West,Plus,,34.0,65,2.0,166.44,1
213,10214,Male,East,Basic,PayPal,30.0,115,1.0,2.67,1
214,10215,Female,North,Pro,PayPal,28.0,137,,97.17,0
215,10216,Male,East,Pro,Crypto,15.0,158,,,1
216,10217,Male,East,Plus,Credit Card,28.0,160,1.0,98.94,1
217,10218,Female,South,Basic,Crypto,41.0,107,2.0,42.22,1
218,10219,Female,North,Basic,E-Wallet,42.0,110,,56.19,1
219,10220,Non-Binary,South,Basic,Crypto,29.0,133,1.0,68.63,1
220,10221,Female,North,Plus,PayPal,46.0,13,,109.87,1
221,10222,Female,North,Plus,Credit Card,33.0,77,,182.12,1
222,10223,Male,East,Plus,PayPal,20.0,14,3.0,174.36,1
223,10224,Male,South,Plus,PayPal,17.0,120,2.0,233.01,1
224,10225,Male,East,Basic,Credit Card,46.0,170,1.0,,1
225,10226,Male,East,Basic,E-Wallet,30.0,147,1.0,33.73,1
226,10227,Unknown,East,Basic,Credit Card,21.0,20,3.0,28.3,0
227,10228,Male,North,Basic,Credit Card,11.0,28,2.0,,1
228,10229,Non-Binary,South,Plus,Crypto,30.0,72,2.0,214.67,1
229,10230,Female,South,Plus,Credit Card,38.0,92,2.0,123.79,1
230,10231,Female,East,Basic,Crypto,27.0,171,1.0,,1
231,10232,Female,North,Pro,PayPal,23.0,161,3.0,77.45,1
232,10233,Female,South,Plus,Credit Card,28.0,46,2.0,127.1,0
233,10234,Female,West,Basic,E-Wallet,46.0,8,3.0,53.4,1
234,10235,Male,South,Basic,Crypto,20.0,111,3.0,30.27,0
235,10236,Female,East,Basic,Crypto,27.0,29,9.0,,1
236,10237,Male,West,Basic,E-Wallet,46.0,16,1.0,,1
237,10238,Male,North,Pro,Crypto,,179,,,1
238,10239,Female,West,Basic,Crypto,,58,,,1
239,10240,Male,West,Basic,E-Wallet,27.0,118,1.0,27.31,1
240,10241,Unknown,East,Plus,PayPal,34.0,131,1.0,,0
241,10242,Unknown,South,Pro,Credit Card,28.0,167,,39.88,0
242,10243,Unknown,North,Basic,Credit Card,25.0,95,1.0,,0
243,10244,Male,West,Plus,Credit Card,23.0,134,1.0,184.96,1
244,10245,Male,East,Basic,Credit Card,41.0,37,2.0,13.82,1
245,10246,Unknown,South,Basic,Credit Card,33.0,31,4.0,77.85,1
246,10247,Female,West,Plus,Credit Card,37.0,68,2.0,184.86,0
247,10248,Unknown,East,Basic,Crypto,35.0,66,,43.83,1
248,10249,Unknown,East,Pro,Credit Card,38.0,55,2.0,162.01,0
249,10250,Non-Binary,East,Basic,Crypto,31.0,19,2.0,7.21,0
250,10251,Male,North,Basic,,29.0,119,2.0,11.11,1
251,10252,Male,South,Pro,PayPal,25.0,144,1.0,110.58,1
252,10253,Non-Binary,West,Basic,Crypto,,143,,,1
253,10254,Male,South,Pro,PayPal,22.0,10,1.0,56.59,0
254,10255,Male,South,Pro,E-Wallet,,140,,,1
255,10256,Female,West,Plus,Credit Card,17.0,145,1.0,107.19,1
256,10257,Unknown,South,Pro,PayPal,20.0,13,5.0,88.93,1
257,10258,Female,North,Basic,PayPal,,33,,,0
258,10259,Female,West,Plus,E-Wallet,36.0,85,2.0,157.19,1
259,10260,Male,West,Pro,E-Wallet,29.0,124,1.0,116.23,1
260,10261,Female,East,Pro,E-Wallet,,153,,,0
261,10262,Unknown,South,Plus,Crypto,17.0,169,4.0,148.27,1
262,10263,Male,West,Pro,Crypto,43.0,166,,97.7,1
263,10264,Female,West,Basic,PayPal,,129,,,1
264,10265,Non-Binary,North,Pro,E-Wallet,41.0,49,4.0,82.61,1
265,10266,Female,East,Basic,PayPal,,112,,,1
266,10267,Female,West,Basic,Credit Card,15.0,143,2.0,,1
267,10268,Female,North,Pro,E-Wallet,34.0,61,1.0,96.13,0
268,10269,Male,West,Basic,Crypto,37.0,97,2.0,,1
269,10270,Male,West,Basic,E-Wallet,12.0,138,2.0,14.79,1
270,10271,Non-Binary,West,Basic,PayPal,53.0,126,3.0,113.52,0
271,10272,Non-Binary,North,Pro,Crypto,,29,,,1
272,10273,Non-Binary,South,Basic,,40.0,154,1.0,1.29,1
273,10274,Unknown,West,Pro,Credit Card,22.0,85,1.0,46.5,0
274,10275,Female,West,Basic,PayPal,40.0,80,3.0,14.98,1
275,10276,Female,South,Basic,E-Wallet,44.0,78,2.0,38.65,1
276,10277,Female,West,Basic,Credit Card,36.0,136,3.0,,1
277,10278,Female,East,Pro,PayPal,,75,,,1
278,10279,Female,West,Basic,Crypto,25.0,129,,76.83,0
279,10280,Female,East,Plus,Crypto,31.0,48,2.0,147.76,0
280,10281,Non-Binary,South,Plus,PayPal,28.0,47,1.0,121.17,0
281,10282,Male,North,Plus,E-Wallet,,54,,,1
282,10283,Male,South,Plus,E-Wallet,25.0,79,2.0,110.76,1
283,10284,Male,West,Basic,E-Wallet,39.0,66,2.0,81.03,1
284,10285,Female,East,Pro,E-Wallet,25.0,114,3.0,93.95,0
285,10286,Male,North,Pro,PayPal,31.0,111,1.0,82.31,1
286,10287,Female,West,Pro,PayPal,40.0,158,3.0,118.88,1
287,10288,Female,North,Plus,Crypto,26.0,106,2.0,192.25,0
288,10289,Male,North,Pro,Crypto,40.0,25,4.0,81.82,0
289,10290,Female,West,Plus,E-Wallet,39.0,109,1.0,181.14,1
290,10291,Male,South,Basic,Credit Card,31.0,65,,,0
291,10292,Male,West,Plus,Credit Card,45.0,157,2.0,156.09,1
292,10293,Non-Binary,West,Pro,Crypto,34.0,100,1.0,80.08,1
293,10294,Male,South,Pro,Crypto,45.0,0,1.0,29.04,1
294,10295,Male,East,Basic,PayPal,51.0,69,3.0,14.19,1
295,10296,Female,West,Pro,Crypto,31.0,149,1.0,164.57,1
296,10297,Female,North,Plus,Crypto,40.0,112,2.0,177.55,1
297,10298,Male,West,Basic,,27.0,53,1.0,26.01,0
298,10299,Female,West,Pro,Credit Card,23.0,141,,,1
299,10300,Male,North,Basic,Credit Card,32.0,13,2.0,99.56,0
300,10301,Male,South,Plus,PayPal,20.0,18,2.0,200.35,1
301,10302,Female,East,Basic,Credit Card,24.0,153,3.0,56.26,1
302,10303,Female,East,Basic,E-Wallet,39.0,58,5.0,13.1,1
303,10304,Female,North,Basic,E-Wallet,28.0,149,1.0,,1
304,10305,Female,South,Pro,,41.0,5,4.0,138.66,1
305,10306,Unknown,West,Basic,Crypto,36.0,62,2.0,,1
306,10307,Female,West,Pro,Crypto,52.0,76,3.0,84.51,1
307,10308,Male,West,Plus,E-Wallet,39.0,73,1.0,107.41,0
308,10309,Female,West,Plus,,45.0,126,5.0,174.45,1
309,10310,Male,West,Basic,,38.0,146,2.0,21.58,1
310,10311,Female,North,Plus,Credit Card,37.0,94,1.0,223.43,0
311,10312,Male,West,Pro,Credit Card,45.0,9,3.0,84.16,0
312,10313,Male,West,Basic,E-Wallet,40.0,36,3.0,25.08,1
313,10314,Unknown,South,Basic,Crypto,36.0,144,1.0,11.07,1
314,10315,Non-Binary,West,Basic,,36.0,132,,16.14,1
315,10316,Female,East,Plus,,39.0,148,2.0,115.81,0
316,10317,Female,North,Basic,,27.0,117,2.0,71.24,1
317,10318,Male,North,Basic,,26.0,166,1.0,,1
318,10319,Male,North,Pro,E-Wallet,48.0,147,1.0,80.03,1
319,10320,Male,East,Pro,Crypto,52.0,142,3.0,98.22,1
320,10321,Female,West,Pro,Crypto,24.0,78,4.0,20.57,1
321,10322,Female,North,Pro,Credit Card,27.0,52,1.0,62.32,0
322,10323,Female,East,Basic,,45.0,32,2.0,36.81,0
323,10324,Male,South,Plus,Credit Card,39.0,121,2.0,,1
324,10325,Unknown,West,Basic,Credit Card,40.0,171,1.0,29.09,1
325,10326,Female,East,Pro,Credit Card,42.0,177,3.0,29.37,1
326,10327,Female,West,Pro,Credit Card,31.0,31,2.0,35.27,1
327,10328,Female,South,Basic,,,78,,,1
328,10329,Female,East,Plus,E-Wallet,36.0,155,3.0,199.05,1
329,10330,Male,West,Basic,Credit Card,25.0,2,2.0,76.15,1
330,10331,Male,East,Basic,PayPal,37.0,52,,27.9,1
331,10332,Female,North,Plus,Crypto,,169,,,0
332,10333,Male,West,Pro,E-Wallet,,1,,,0
333,10334,Male,East,Pro,PayPal,35.0,120,2.0,33.43,1
334,10335,Male,North,Pro,Credit Card,36.0,149,1.0,70.24,1
335,10336,Male,South,Plus,,31.0,152,2.0,155.67,1
336,10337,Non-Binary,West,Basic,Crypto,40.0,159,2.0,11.66,1
337,10338,Female,West,Basic,PayPal,,134,,,1
338,10339,Female,South,Basic,Credit Card,47.0,61,,,1
339,10340,Male,North,Basic,Crypto,,30,,,1
340,10341,Female,South,Pro,Credit Card,24.0,62,1.0,30.46,1
341,10342,Female,West,Basic,Credit Card,,36,,,0
342,10343,Male,East,Basic,E-Wallet,35.0,67,3.0,,1
343,10344,Female,North,Basic,Crypto,26.0,78,2.0,57.02,1
344,10345,Male,North,Pro,Crypto,,136,,,1
345,10346,Female,North,Plus,Credit Card,38.0,45,2.0,180.79,0
346,10347,Female,South,Basic,PayPal,16.0,94,3.0,32.01,0
347,10348,Male,South,Pro,Crypto,,33,,,0
348,10349,Male,East,Basic,PayPal,36.0,107,,12.93,1
349,10350,Female,East,Pro,PayPal,12.0,59,1.0,123.44,0
350,10351,Female,North,Basic,Crypto,34.0,140,3.0,,1
351,10352,Non-Binary,East,Basic,PayPal,35.0,35,,18.4,0
352,10353,Female,South,Pro,Crypto,22.0,47,2.0,152.26,1
353,10354,Male,East,Plus,E-Wallet,36.0,92,3.0,148.02,0
354,10355,Male,South,Basic,Crypto,34.0,5,1.0,30.58,0
355,10356,Female,East,Pro,Crypto,22.0,132,2.0,15.96,1
356,10357,Male,West,Pro,Crypto,43.0,102,1.0,74.93,1
357,10358,Female,South,Plus,E-Wallet,,177,,,1
358,10359,Unknown,West,Basic,PayPal,31.0,73,1.0,18.55,1
359,10360,Female,South,Basic,E-Wallet,32.0,73,,47.98,1
360,10361,Male,East,Plus,,41.0,112,3.0,154.63,1
361,10362,Female,West,Basic,Crypto,31.0,151,3.0,0.44,0
362,10363,Female,East,Basic,Crypto,14.0,6,2.0,10.89,0
363,10364,Female,South,Basic,E-Wallet,38.0,85,3.0,47.54,1
364,10365,Unknown,West,Plus,E-Wallet,,57,,,1
365,10366,Male,North,Basic,E-Wallet,30.0,148,1.0,19.51,0
366,10367,Unknown,East,Plus,E-Wallet,48.0,160,,163.84,0
367,10368,Unknown,South,Basic,Crypto,32.0,43,2.0,,1
368,10369,Male,West,Basic,Crypto,34.0,24,1.0,91.74,0
369,10370,Male,East,Basic,Credit Card,39.0,94,2.0,49.55,1
370,10371,Male,West,Basic,E-Wallet,39.0,115,3.0,26.4,1
371,10372,Male,East,Pro,E-Wallet,24.0,142,3.0,133.31,1
372,10373,Male,East,Pro,PayPal,33.0,156,,123.99,1
373,10374,Female,East,Basic,PayPal,34.0,82,6.0,,1
374,10375,Male,West,Basic,Crypto,36.0,51,,62.63,1
375,10376,Male,West,Pro,Credit Card,36.0,16,,69.69,0
376,10377,Non-Binary,East,Plus,E-Wallet,59.0,35,3.0,103.92,1
377,10378,Male,North,Pro,Credit Card,22.0,162,2.0,118.35,1
378,10379,Non-Binary,North,Plus,Credit Card,43.0,167,3.0,149.73,1
379,10380,Male,North,Basic,Crypto,45.0,150,1.0,31.92,1
380,10381,Male,South,Plus,Credit Card,38.0,161,1.0,165.61,1
381,10382,Female,North,Basic,E-Wallet,27.0,81,3.0,67.67,0
382,10383,Female,West,Basic,Crypto,50.0,127,3.0,3.47,1
383,10384,Non-Binary,North,Plus,Credit Card,12.0,79,1.0,101.78,1
384,10385,Female,West,Plus,Crypto,,155,,,1
385,10386,Non-Binary,South,Pro,Crypto,45.0,59,1.0,132.67,1
386,10387,Male,West,Basic,PayPal,30.0,159,,,0
387,10388,Male,West,Basic,Crypto,49.0,57,1.0,37.04,1
388,10389,Female,West,Basic,Credit Card,18.0,81,1.0,41.34,1
389,10390,Non-Binary,North,Plus,PayPal,22.0,43,1.0,,0
390,10391,Unknown,East,Basic,E-Wallet,28.0,161,3.0,51.2,1
391,10392,Female,West,Plus,E-Wallet,38.0,148,1.0,116.12,1
392,10393,Male,North,Basic,E-Wallet,31.0,123,2.0,46.87,1
393,10394,Female,North,Plus,E-Wallet,29.0,0,3.0,165.25,0
394,10395,Male,North,Plus,E-Wallet,48.0,176,1.0,173.75,1
395,10396,Unknown,East,Basic,Credit Card,49.0,96,1.0,,1
396,10397,Non-Binary,East,Basic,Crypto,29.0,20,3.0,,1
397,10398,Female,East,Plus,PayPal,16.0,98,,118.3,0
398,10399,Female,East,Pro,Crypto,12.0,154,1.0,158.48,1
399,10400,Female,South,Pro,Crypto,36.0,147,1.0,86.93,1
400,10401,Male,East,Pro,Credit Card,40.0,143,1.0,47.89,1
401,10402,Unknown,East,Basic,Credit Card,34.0,47,5.0,40.16,1
402,10403,Female,East,Plus,Credit Card,33.0,31,1.0,168.64,0
403,10404,Non-Binary,West,Basic,PayPal,25.0,31,2.0,47.49,0
404,10405,Male,West,Plus,Credit Card,,123,,,1
405,10406,Non-Binary,East,Basic,Crypto,50.0,129,2.0,39.79,1
406,10407,Male,South,Pro,PayPal,11.0,21,2.0,,0
407,10408,Male,West,Basic,Credit Card,33.0,51,,0.82,1
408,10409,Unknown,North,Basic,Credit Card,24.0,95,3.0,,1
409,10410,Male,West,Basic,Credit Card,19.0,161,1.0,84.09,1
410,10411,Male,North,Pro,Crypto,22.0,144,1.0,95.77,1
411,10412,Unknown,West,Pro,Credit Card,37.0,22,3.0,63.8,1
